Date,Currency,FX_to_Report_Ccy
2023-07-04,JPY,0.0063381798448859696
2023-07-04,USD,0.9163299951466868
2023-07-05,EUR,1.0
2023-07-05,JPY,0.006363752092937037
2023-07-05,USD,0.9186999607379512
2023-07-06,EUR,1.0
2023-07-06,JPY,0.006375802459863508
2023-07-06,USD,0.9211000176454511
2023-07-07,EUR,1.0
2023-07-07,JPY,0.006379178585365365
2023-07-07,USD,0.9182199820309886
2023-07-10,EUR,1.0
2023-07-10,JPY,0.006412311763827012
2023-07-10,USD,0.9116000083024789
2023-07-11,EUR,1.0
2023-07-11,JPY,0.006431240504411174
2023-07-11,USD,0.9085999336037923
2023-07-12,EUR,1.0
2023-07-12,JPY,0.006480503164555397
2023-07-12,USD,0.9079300338435938
2023-07-13,EUR,1.0
2023-07-13,JPY,0.0064905559321201305
2023-07-13,USD,0.8972999731941971
2023-07-14,EUR,1.0
2023-07-14,JPY,0.0064534451132208575
2023-07-14,USD,0.8909900435786611
2023-07-17,EUR,1.0
2023-07-17,JPY,0.006422442799873817
2023-07-17,USD,0.8906499574667963
2023-07-18,EUR,1.0
2023-07-18,JPY,0.006414903374147555
2023-07-18,USD,0.8898700181684539
2023-07-19,EUR,1.0
2023-07-19,JPY,0.006406026920248992
2023-07-19,USD,0.8905599419755409
2023-07-20,EUR,1.0
2023-07-20,JPY,0.006393289543358202
2023-07-20,USD,0.8924400444613151
2023-07-21,EUR,1.0
2023-07-21,JPY,0.00642182416807118
2023-07-21,USD,0.8978999676209998
2023-07-24,EUR,1.0
2023-07-24,JPY,0.006341435849084354
2023-07-24,USD,0.8988500525041253
2023-07-25,EUR,1.0
2023-07-25,JPY,0.006387898550392669
2023-07-25,USD,0.9039000221971756
2023-07-26,EUR,1.0
2023-07-26,JPY,0.006422236366246609
2023-07-26,USD,0.9049399690068658
2023-07-27,EUR,1.0
2023-07-27,JPY,0.006431116176853732
2023-07-27,USD,0.9026599961326599
2023-07-28,EUR,1.0
2023-07-28,JPY,0.0065603453470858735
2023-07-28,USD,0.9108500129429485
2023-07-31,EUR,1.0
2023-07-31,JPY,0.006444627788720524
2023-07-31,USD,0.9070900254038167
2023-08-01,EUR,1.0
2023-08-01,JPY,0.006389245601836596
2023-08-01,USD,0.9092900420662497
2023-08-02,EUR,1.0
2023-08-02,JPY,0.0063550972658807615
2023-08-02,USD,0.9084400395058305
2023-08-03,EUR,1.0
2023-08-03,JPY,0.006375071230253729
2023-08-03,USD,0.9137300095200542
2023-08-04,EUR,1.0
2023-08-04,JPY,0.006403893617349768
2023-08-04,USD,0.9131099721406262
2023-08-07,EUR,1.0
2023-08-07,JPY,0.006406314348703267
2023-08-07,USD,0.9088699625730468
2023-08-08,EUR,1.0
2023-08-08,JPY,0.006377184749677302
2023-08-08,USD,0.9088299846220818
2023-08-09,EUR,1.0
2023-08-09,JPY,0.006369345658001632
2023-08-09,USD,0.9125000067986548
2023-08-10,EUR,1.0
2023-08-10,JPY,0.006338380910037759
2023-08-10,USD,0.9109400224004636
2023-08-11,EUR,1.0
2023-08-11,JPY,0.006286777832584994
2023-08-11,USD,0.9106100417115579
2023-08-14,EUR,1.0
2023-08-14,JPY,0.006309625702944254
2023-08-14,USD,0.9137100048024027
2023-08-15,EUR,1.0
2023-08-15,JPY,0.006303818746742812
2023-08-15,USD,0.9166000318623267
2023-08-16,EUR,1.0
2023-08-16,JPY,0.006298498224895291
2023-08-16,USD,0.9170800224421247
2023-08-17,EUR,1.0
2023-08-17,JPY,0.006284407408650458
2023-08-17,USD,0.9195500275472309
2023-08-18,EUR,1.0
2023-08-18,JPY,0.006311218900374883
2023-08-18,USD,0.9195699863938062
2023-08-21,EUR,1.0
2023-08-21,JPY,0.006328312700686819
2023-08-21,USD,0.919489954631699
2023-08-22,EUR,1.0
2023-08-22,JPY,0.006274824602490398
2023-08-22,USD,0.9175699503401807
2023-08-23,EUR,1.0
2023-08-23,JPY,0.0063249907976093665
2023-08-23,USD,0.9219400441703444
2023-08-24,EUR,1.0
2023-08-24,JPY,0.006361687606153916
2023-08-24,USD,0.92031997781211
2023-08-25,EUR,1.0
2023-08-25,JPY,0.006340148748155353
2023-08-25,USD,0.9259999920520783
2023-08-28,EUR,1.0
2023-08-28,JPY,0.006320793177756201
2023-08-28,USD,0.9261500740159762
2023-08-29,EUR,1.0
2023-08-29,JPY,0.006307357605406141
2023-08-29,USD,0.9237400391030416
2023-08-30,EUR,1.0
2023-08-30,JPY,0.006302428073501144
2023-08-30,USD,0.9200299854514625
2023-08-31,EUR,1.0
2023-08-31,JPY,0.006262995744840263
2023-08-31,USD,0.9146999444437478
2023-09-01,EUR,1.0
2023-09-01,JPY,0.006339184685049812
2023-09-01,USD,0.922160072659364
2023-09-04,EUR,1.0
2023-09-04,JPY,0.006354855084654959
2023-09-04,USD,0.9279999256591857
2023-09-05,EUR,1.0
2023-09-05,JPY,0.006323670700946514
2023-09-05,USD,0.9264000459411644
2023-09-06,EUR,1.0
2023-09-06,JPY,0.006323910511108143
2023-09-06,USD,0.9323000090244723
2023-09-07,EUR,1.0
2023-09-07,JPY,0.006313250755777112
2023-09-07,USD,0.9324700718032173
2023-09-08,EUR,1.0
2023-09-08,JPY,0.006345057011212479
2023-09-08,USD,0.9347699755548847
2023-09-11,EUR,1.0
2023-09-11,JPY,0.006343004020610505
2023-09-11,USD,0.933000037259461
2023-09-12,EUR,1.0
2023-09-12,JPY,0.0063435271214919604
2023-09-12,USD,0.9302000239740903
2023-09-13,EUR,1.0
2023-09-13,JPY,0.006320113518249887
2023-09-13,USD,0.9299499561775664
2023-09-14,EUR,1.0
2023-09-14,JPY,0.006323830572366686
2023-09-14,USD,0.9315999958687401
2023-09-15,EUR,1.0
2023-09-15,JPY,0.006375680886742648
2023-09-15,USD,0.9400999786845426
2023-09-18,EUR,1.0
2023-09-18,JPY,0.006339506006840584
2023-09-18,USD,0.9373599942341119
2023-09-19,EUR,1.0
2023-09-19,JPY,0.006336533184614569
2023-09-19,USD,0.9352199742621322
2023-09-20,EUR,1.0
2023-09-20,JPY,0.006336935118742112
2023-09-20,USD,0.9361500016962861
2023-09-21,EUR,1.0
2023-09-21,JPY,0.006330235733087295
2023-09-21,USD,0.9386999925025822
2023-09-22,EUR,1.0
2023-09-22,JPY,0.006353361117654871
2023-09-22,USD,0.9379500657177151
2023-09-25,EUR,1.0
2023-09-25,JPY,0.006327351622561736
2023-09-25,USD,0.9391000585159779
2023-09-26,EUR,1.0
2023-09-26,JPY,0.006345137487499442
2023-09-26,USD,0.9441400647546703
2023-09-27,EUR,1.0
2023-09-27,JPY,0.006348521180885387
2023-09-27,USD,0.9461200666567039
2023-09-28,EUR,1.0
2023-09-28,JPY,0.006367722982285592
2023-09-28,USD,0.9518999683290384
2023-09-29,EUR,1.0
2023-09-29,JPY,0.0063399077048897565
2023-09-29,USD,0.9467499643922312
2023-10-02,EUR,1.0
2023-10-02,JPY,0.0063306362571504135
2023-10-02,USD,0.9464999978561998
2023-10-03,EUR,1.0
2023-10-03,JPY,0.006367722982285592
2023-10-03,USD,0.9541300097862895
2023-10-04,EUR,1.0
2023-10-04,JPY,0.006403688374417218
2023-10-04,USD,0.9549000649075529
2023-10-05,EUR,1.0
2023-10-05,JPY,0.0063894904114258156
2023-10-05,USD,0.9517400218062916
2023-10-06,EUR,1.0
2023-10-06,JPY,0.0063872050062214235
2023-10-06,USD,0.9481700107921687
2023-10-09,EUR,1.0
2023-10-09,JPY,0.006344533657995016
2023-10-09,USD,0.9463000128939261
2023-10-10,EUR,1.0
2023-10-10,JPY,0.006373114667246512
2023-10-10,USD,0.945280049906448
2023-10-11,EUR,1.0
2023-10-11,JPY,0.006345217965827841
2023-10-11,USD,0.9429699647389866
2023-10-12,EUR,1.0
2023-10-12,JPY,0.006315962540991451
2023-10-12,USD,0.9412400443701701
2023-10-13,EUR,1.0
2023-10-13,JPY,0.006336653882036868
2023-10-13,USD,0.9490600540182845
2023-10-16,EUR,1.0
2023-10-16,JPY,0.00635505720918772
2023-10-16,USD,0.9504299681434162
2023-10-17,EUR,1.0
2023-10-17,JPY,0.006334606324747165
2023-10-17,USD,0.9474800022002352
2023-10-18,EUR,1.0
2023-10-18,JPY,0.006316720456204162
2023-10-18,USD,0.9458000467904829
2023-10-19,EUR,1.0
2023-10-19,JPY,0.006337577338828685
2023-10-19,USD,0.9488999869914653
2023-10-20,EUR,1.0
2023-10-20,JPY,0.006307238021435139
2023-10-20,USD,0.9445999833569673
2023-10-23,EUR,1.0
2023-10-23,JPY,0.0063007205795401556
2023-10-23,USD,0.9442900259672192
2023-10-24,EUR,1.0
2023-10-24,JPY,0.006258214168701538
2023-10-24,USD,0.937219974432776
2023-10-25,EUR,1.0
2023-10-25,JPY,0.006298656826040548
2023-10-25,USD,0.9438100203577262
2023-10-26,EUR,1.0
2023-10-26,JPY,0.006305210033842784
2023-10-26,USD,0.946319975560813
2023-10-27,EUR,1.0
2023-10-27,JPY,0.006295564334190949
2023-10-27,USD,0.9465699538180011
2023-10-30,EUR,1.0
2023-10-30,JPY,0.006323271057758512
2023-10-30,USD,0.9467499643922312
2023-10-31,EUR,1.0
2023-10-31,JPY,0.006318636448744285
2023-10-31,USD,0.9420599858252034
2023-11-01,EUR,1.0
2023-11-01,JPY,0.006247735248405534
2023-11-01,USD,0.9452600245740779
2023-11-02,EUR,1.0
2023-11-02,JPY,0.006273132030782914
2023-11-02,USD,0.9445499936212591
2023-11-03,EUR,1.0
2023-11-03,JPY,0.006259624258259933
2023-11-03,USD,0.9416999955433023
2023-11-06,EUR,1.0
2023-11-06,JPY,0.006235113519005936
2023-11-06,USD,0.931779946145512
2023-11-07,EUR,1.0
2023-11-07,JPY,0.0062206461362057245
2023-11-07,USD,0.9327000298091028
2023-11-08,EUR,1.0
2023-11-08,JPY,0.006216894840506614
2023-11-08,USD,0.9349199964647695
2023-11-09,EUR,1.0
2023-11-09,JPY,0.0061893446865095405
2023-11-09,USD,0.9336699406559301
2023-11-10,EUR,1.0
2023-11-10,JPY,0.006194558437325844
2023-11-10,USD,0.9374200155286653
2023-11-13,EUR,1.0
2023-11-13,JPY,0.0061762327939150685
2023-11-13,USD,0.935440024720233
2023-11-14,EUR,1.0
2023-11-14,JPY,0.006162568396318896
2023-11-14,USD,0.9344200098425569
2023-11-15,EUR,1.0
2023-11-15,JPY,0.006109146175603275
2023-11-15,USD,0.9192600164464168
2023-11-16,EUR,1.0
2023-11-16,JPY,0.00609273119021712
2023-11-16,USD,0.9212699644818402
2023-11-17,EUR,1.0
2023-11-17,JPY,0.006114113829469439
2023-11-17,USD,0.92133998463007
2023-11-20,EUR,1.0
2023-11-20,JPY,0.00611493647131888
2023-11-20,USD,0.9168400645370152
2023-11-21,EUR,1.0
2023-11-21,JPY,0.0061584319002562565
2023-11-21,USD,0.9135800452335281
2023-11-22,EUR,1.0
2023-11-22,JPY,0.006182915657581044
2023-11-22,USD,0.9158999872145785
2023-11-23,EUR,1.0
2023-11-23,JPY,0.0061451485666742895
2023-11-23,USD,0.9181999812389043
2023-11-24,EUR,1.0
2023-11-24,JPY,0.006128953037234025
2023-11-24,USD,0.9168999921301842
2023-11-27,EUR,1.0
2023-11-27,JPY,0.006111423249351309
2023-11-27,USD,0.914040045302068
2023-11-28,EUR,1.0
2023-11-28,JPY,0.0061485489655237115
2023-11-28,USD,0.9125400104780023
2023-11-29,EUR,1.0
2023-11-29,JPY,0.006179858823946538
2023-11-29,USD,0.9085999336037923
