Date,Security,Price,Price_Currency
2022-06-20,AAPL,129.08985900878906,USD
2022-06-20,ASML.AS,441.8196716308594,EUR
2022-06-20,BNP.PA,38.47422409057617,EUR
2022-06-20,MSFT,240.12855529785156,USD
2022-06-20,SHELL.AS,20.868000030517578,EUR
2022-06-21,7203.T,1901.71337890625,JPY
2022-06-21,AAPL,133.31887817382812,USD
2022-06-21,ASML.AS,453.89776611328125,EUR
2022-06-21,BNP.PA,39.27800369262695,EUR
2022-06-21,MSFT,246.03359985351562,USD
2022-06-21,SHELL.AS,21.25908851623535,EUR
2022-06-22,7203.T,1917.275390625,JPY
2022-06-22,AAPL,132.8087158203125,USD
2022-06-22,ASML.AS,449.5013427734375,EUR
2022-06-22,BNP.PA,39.027320861816406,EUR
2022-06-22,MSFT,245.44212341308594,USD
2022-06-22,SHELL.AS,20.506668090820312,EUR
2022-06-23,7203.T,1891.0421142578125,JPY
2022-06-23,AAPL,135.67385864257812,USD
2022-06-23,ASML.AS,444.8633728027344,EUR
2022-06-23,BNP.PA,37.19691848754883,EUR
2022-06-23,MSFT,250.99807739257812,USD
2022-06-23,SHELL.AS,20.102827072143555,EUR
2022-06-24,7203.T,1877.702880859375,JPY
2022-06-24,AAPL,139.0001983642578,USD
2022-06-24,ASML.AS,468.48834228515625,EUR
2022-06-24,BNP.PA,38.14793014526367,EUR
2022-06-24,MSFT,259.5696105957031,USD
2022-06-24,SHELL.AS,20.672454833984375,EUR
2022-06-27,7203.T,1886.595703125,JPY
2022-06-27,AAPL,139.0001983642578,USD
2022-06-27,ASML.AS,467.3770751953125,EUR
2022-06-27,BNP.PA,38.044471740722656,EUR
2022-06-27,MSFT,256.84490966796875,USD
2022-06-27,SHELL.AS,20.850994110107422,EUR
2022-06-28,7203.T,1927.502197265625,JPY
2022-06-28,AAPL,134.8594512939453,USD
2022-06-28,ASML.AS,456.8932189941406,EUR
2022-06-28,BNP.PA,38.12803268432617,EUR
2022-06-28,MSFT,248.6903839111328,USD
2022-06-28,SHELL.AS,21.463134765625,EUR
2022-06-29,7203.T,1892.3759765625,JPY
2022-06-29,AAPL,136.61582946777344,USD
2022-06-29,ASML.AS,449.5013427734375,EUR
2022-06-29,BNP.PA,37.46750259399414,EUR
2022-06-29,MSFT,252.3555908203125,USD
2022-06-29,SHELL.AS,21.53114891052246,EUR
2022-06-30,7203.T,1867.476318359375,JPY
2022-06-30,AAPL,134.15296936035156,USD
2022-06-30,ASML.AS,440.4669189453125,EUR
2022-06-30,BNP.PA,36.102657318115234,EUR
2022-06-30,MSFT,249.02975463867188,USD
2022-06-30,SHELL.AS,21.12305450439453,EUR
2022-07-01,7203.T,1838.130126953125,JPY
2022-07-01,AAPL,136.32144165039062,USD
2022-07-01,ASML.AS,416.697021484375,EUR
2022-07-01,BNP.PA,36.05888748168945,EUR
2022-07-01,MSFT,251.69618225097656,USD
2022-07-01,SHELL.AS,20.868000030517578,EUR
2022-07-04,7203.T,1879.0367431640625,JPY
2022-07-04,AAPL,136.32144165039062,USD
2022-07-04,ASML.AS,414.0398254394531,EUR
2022-07-04,BNP.PA,36.035011291503906,EUR
2022-07-04,MSFT,251.69618225097656,USD
2022-07-04,SHELL.AS,21.798959732055664,EUR
2022-07-05,7203.T,1882.1492919921875,JPY
